School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
Anderson University,Anderson,South Carolina,South Atlantic Conference,D2,0.665,1071.0,44342.0,-85.664315,40.112768
Anderson University,Anderson,South Carolina,South Atlantic Conference,D2,0.592,,44481.0,-82.640358,34.5152
Ashland University,Ashland,Ohio,Great Midwest Athletic Conference,D2,0.7435,1105.0,33775.0,-82.321061,40.861755
Assumption University,Worcester,Massachusetts,Northeast-10 Conference,D2,0.8092,,57238.0,-71.828991,42.294226
Auburn University at Montgomery,Montgomery,Alabama,Gulf South Conference,D2,0.9555,1061.0,20225.0,-86.177544,32.36736
Azusa Pacific University,Azusa,California,Pacific West Conference,D2,0.936,,56802.0,-117.888375,34.130047
Barry University,Miami Shores,Florida,Sunshine State Conference,D2,0.653,,47118.0,-80.198925,25.878908
Barton College,Wilson,North Carolina,Conference Carolinas,D2,0.4244,1030.0,46539.0,-77.913867,35.734376
Belmont Abbey College,Belmont,North Carolina,Conference Carolinas,D2,0.801,1085.0,31943.0,-81.041315,35.260651
Bentley University,Waltham,Massachusetts,Northeast-10 Conference,D2,0.5782,1281.0,71094.0,-71.222839,42.385995
Biola University,La Mirada,California,Pacific West Conference,D2,0.6438,1196.0,58012.0,-118.014374,33.906203
Bloomfield College,Bloomfield,New Jersey,Central Atlantic Collegiate Conference,D2,0.8465,889.0,43493.0,-74.194309,40.795105
Bloomsburg University of Pennsylvania,Bloomsburg,Pennsylvania,Pennsylvania State Athletic Conference,D2,0.8903,,25058.0,-76.447844,41.00782
University of Bridgeport,Bridgeport,Connecticut,Central Atlantic Collegiate Conference,D2,0.7095,1026.0,53853.0,-73.190166,41.164741
Caldwell University,Caldwell,New Jersey,Central Atlantic Collegiate Conference,D2,0.9152,1017.0,50245.0,-74.272571,40.832753
"California State Polytechnic University, Humboldt",Arcata,California,California Collegiate Athletic Association,D2,0.8514,1081.0,24991.0,-124.078293,40.877481
"California State Polytechnic University, Pomona",Pomona,California,California Collegiate Athletic Association,D2,0.6481,1134.0,22365.0,-117.821476,34.057912
"California State University, Chico",Chico,California,California Collegiate Athletic Association,D2,0.9017,1073.0,25073.0,-121.844859,39.729712
"California State University, Dominguez Hills",Carson,California,California Collegiate Athletic Association,D2,0.812,,15019.0,-118.255917,33.864766
"California State University, East Bay",Hayward,California,California Collegiate Athletic Association,D2,0.7328,,23357.0,-122.054135,37.657694
"California State University, Los Angeles",Los Angeles,California,California Collegiate Athletic Association,D2,0.7648,964.0,15307.0,-118.168965,34.066927
"California State University, Monterey Bay",Seaside,California,California Collegiate Athletic Association,D2,0.8562,1058.0,23389.0,-121.796178,36.652397
"California State University, San Bernardino",San Bernardino,California,California Collegiate Athletic Association,D2,0.7812,988.0,19114.0,-117.323801,34.182622
California State University San Marcos,San Marcos,California,California Collegiate Athletic Association,D2,0.7942,1039.0,22531.0,-117.159013,33.130569
"California State University, Stanislaus",Turlock,California,California Collegiate Athletic Association,D2,0.8932,,17424.0,-120.852511,37.52577
Carson–Newman University,Jefferson City,Tennessee,South Atlantic Conference,D2,0.7932,1107.0,40422.0,-83.491709,36.122934
Catawba College,Salisbury,North Carolina,South Atlantic Conference,D2,0.5212,1038.0,44235.0,-80.482751,35.691443
Cedarville University,Cedarville,Ohio,Great Midwest Athletic Conference,D2,0.5933,1251.0,42318.0,-83.814692,39.749237
Chaminade University of Honolulu,Honolulu,Hawai'i,Pacific West Conference,D2,0.8897,1056.0,38649.0,-157.807851,21.28995
University of Charleston,Charleston,West Virginia,Mountain East Conference,D2,0.6148,1079.0,43829.0,-81.616244,38.333367
